"";"p";"n";"prop.covered"
"1";0,01;100;0,641
"2";0,015;100;0,761
"3";0,02;100;0,858
"4";0,025;100;0,918
"5";0,03;100;0,811
"6";0,035;100;0,869
"7";0,04;100;0,904
"8";0,045;100;0,927
"9";0,05;100;0,887
"10";0,055;100;0,891
"11";0,06;100;0,923
"12";0,065;100;0,904
"13";0,07;100;0,906
"14";0,075;100;0,938
"15";0,08;100;0,894
"16";0,085;100;0,936
"17";0,09;100;0,95
"18";0,095;100;0,911
"19";0,1;100;0,937
"20";0,105;100;0,943
"21";0,11;100;0,922
"22";0,115;100;0,941
"23";0,12;100;0,95
"24";0,125;100;0,929
"25";0,13;100;0,949
"26";0,135;100;0,932
"27";0,14;100;0,944
"28";0,145;100;0,952
"29";0,15;100;0,947
"30";0,155;100;0,949
"31";0,16;100;0,919
"32";0,165;100;0,937
"33";0,17;100;0,947
"34";0,175;100;0,932
"35";0,18;100;0,948
"36";0,185;100;0,926
"37";0,19;100;0,935
"38";0,195;100;0,953
"39";0,2;100;0,93
"40";0,205;100;0,945
"41";0,21;100;0,929
"42";0,215;100;0,936
"43";0,22;100;0,925
"44";0,225;100;0,944
"45";0,23;100;0,946
"46";0,235;100;0,924
"47";0,24;100;0,954
"48";0,245;100;0,921
"49";0,25;100;0,949
"50";0,255;100;0,946
"51";0,26;100;0,943
"52";0,265;100;0,93
"53";0,27;100;0,944
"54";0,275;100;0,942
"55";0,28;100;0,932
"56";0,285;100;0,95
"57";0,29;100;0,917
"58";0,295;100;0,95
"59";0,3;100;0,957
"60";0,305;100;0,948
"61";0,31;100;0,948
"62";0,315;100;0,94
"63";0,32;100;0,956
"64";0,325;100;0,945
"65";0,33;100;0,949
"66";0,335;100;0,95
"67";0,34;100;0,944
"68";0,345;100;0,95
"69";0,35;100;0,929
"70";0,355;100;0,941
"71";0,36;100;0,938
"72";0,365;100;0,944
"73";0,37;100;0,936
"74";0,375;100;0,948
"75";0,38;100;0,925
"76";0,385;100;0,952
"77";0,39;100;0,932
"78";0,395;100;0,947
"79";0,4;100;0,951
"80";0,405;100;0,937
"81";0,41;100;0,955
"82";0,415;100;0,957
"83";0,42;100;0,942
"84";0,425;100;0,937
"85";0,43;100;0,952
"86";0,435;100;0,95
"87";0,44;100;0,948
"88";0,445;100;0,945
"89";0,45;100;0,959
"90";0,455;100;0,935
"91";0,46;100;0,946
"92";0,465;100;0,942
"93";0,47;100;0,945
"94";0,475;100;0,966
"95";0,48;100;0,951
"96";0,485;100;0,961
"97";0,49;100;0,956
"98";0,495;100;0,944
"99";0,5;100;0,954
"100";0,505;100;0,953
"101";0,51;100;0,941
"102";0,515;100;0,956
"103";0,52;100;0,949
"104";0,525;100;0,965
"105";0,53;100;0,94
"106";0,535;100;0,923
"107";0,54;100;0,962
"108";0,545;100;0,946
"109";0,55;100;0,935
"110";0,555;100;0,942
"111";0,56;100;0,952
"112";0,565;100;0,951
"113";0,57;100;0,948
"114";0,575;100;0,946
"115";0,58;100;0,946
"116";0,585;100;0,937
"117";0,59;100;0,959
"118";0,595;100;0,947
"119";0,6;100;0,95
"120";0,605;100;0,955
"121";0,61;100;0,939
"122";0,615;100;0,943
"123";0,62;100;0,943
"124";0,625;100;0,947
"125";0,63;100;0,947
"126";0,635;100;0,955
"127";0,64;100;0,921
"128";0,645;100;0,946
"129";0,65;100;0,928
"130";0,655;100;0,95
"131";0,66;100;0,94
"132";0,665;100;0,939
"133";0,67;100;0,947
"134";0,675;100;0,949
"135";0,68;100;0,939
"136";0,685;100;0,951
"137";0,69;100;0,952
"138";0,695;100;0,944
"139";0,7;100;0,953
"140";0,705;100;0,945
"141";0,71;100;0,94
"142";0,715;100;0,954
"143";0,72;100;0,946
"144";0,725;100;0,946
"145";0,73;100;0,931
"146";0,735;100;0,93
"147";0,74;100;0,947
"148";0,745;100;0,946
"149";0,75;100;0,937
"150";0,755;100;0,932
"151";0,76;100;0,943
"152";0,765;100;0,939
"153";0,77;100;0,942
"154";0,775;100;0,939
"155";0,78;100;0,939
"156";0,785;100;0,956
"157";0,79;100;0,931
"158";0,795;100;0,944
"159";0,8;100;0,935
"160";0,805;100;0,956
"161";0,81;100;0,94
"162";0,815;100;0,937
"163";0,82;100;0,949
"164";0,825;100;0,938
"165";0,83;100;0,955
"166";0,835;100;0,927
"167";0,84;100;0,923
"168";0,845;100;0,944
"169";0,85;100;0,934
"170";0,855;100;0,942
"171";0,86;100;0,947
"172";0,865;100;0,909
"173";0,87;100;0,94
"174";0,875;100;0,945
"175";0,88;100;0,948
"176";0,885;100;0,944
"177";0,89;100;0,906
"178";0,895;100;0,942
"179";0,9;100;0,932
"180";0,905;100;0,897
"181";0,91;100;0,937
"182";0,915;100;0,91
"183";0,92;100;0,886
"184";0,925;100;0,936
"185";0,93;100;0,913
"186";0,935;100;0,892
"187";0,94;100;0,927
"188";0,945;100;0,905
"189";0,95;100;0,88
"190";0,955;100;0,935
"191";0,96;100;0,899
"192";0,965;100;0,853
"193";0,97;100;0,792
"194";0,975;100;0,925
"195";0,98;100;0,854
"196";0,985;100;0,796
"197";0,99;100;0,617
